iteration,Date,Observed,Source,MSI_chl,conformal,upper,lower,uncertainty,alpha_test,conformal_2
2017,12/07/2017,50.2,Matchup,44.3854919,Yes,56.923293066319566,31.84769073368043,62.06896551724138,5.814508100000005,Accepted values
2017,18/08/2017,33.1,Matchup,27.1224765,Yes,40.01178713833286,14.233165861667143,62.06896551724138,5.9775235,Accepted values
2017,10/02/2016,NA,No Matchup,15.43310178,Yes,36.01085497421952,0,79.3103448275862,9.543101779999999,Accepted values
2017,27/10/2017,5,Matchup,12.48526057,Yes,28.625698779167138,0,68.96551724137932,7.4852605699999994,Accepted values
2017,20/04/2016,NA,No Matchup,7.778220998,Yes,12.576222059024285,2.980219936975714,27.586206896551722,2.2251123353333337,Accepted values
2017,03/05/2016,NA,No Matchup,8.953532703,Yes,47.184232737901745,0,93.10344827586206,17.729800630333333,Accepted values
2017,30/05/2016,NA,No Matchup,30.58028384,Yes,38.98326303742771,22.177304642572288,48.275862068965516,3.8969505066666663,Accepted values
2017,02/06/2016,NA,No Matchup,11.04898466,Yes,43.961643330470935,0,93.10344827586206,15.26351534,Accepted values
2017,17/09/2016,NA,No Matchup,7.679756204,Yes,39.75878028344943,0,93.10344827586206,14.876910462666665,Accepted values
2017,24/06/2018,NA,No Matchup,11.65893916,Yes,41.277953642134506,0,93.10344827586206,13.73606084,Accepted values
2017,27/06/2018,NA,No Matchup,9.776582094,Yes,43.45451578505687,0,93.10344827586206,15.618417906,Accepted values
2017,20/10/2016,NA,No Matchup,13.2518138,Yes,20.176800859642192,6.326826740357808,44.827586206896555,3.211519533333334,Accepted values
2017,05/01/2017,NA,No Matchup,40.60538732,No,122.08905846340878,0,100,37.78872065333333,Rejected values
2017,25/01/2017,5.2,Matchup,8.658750263,Yes,16.116839981965132,1.2006605440348688,48.275862068965516,3.4587502629999998,Accepted values
2017,14/02/2017,NA,No Matchup,7.689048386,Yes,9.416137231258421,5.961959540741578,17.24137931034483,0.8009516140000006,Accepted values
2017,24/02/2017,12.4,Matchup,18.68167335,Yes,32.22682112510904,5.13652557489096,68.96551724137932,6.28167335,Accepted values
2017,06/03/2017,19.5,Matchup,9.471711208,Yes,31.095671266208008,0,79.3103448275862,10.028288792,Accepted values
2017,26/03/2017,NA,No Matchup,11.58767383,Yes,12.752448555447417,10.422899104552583,10.344827586206897,0.5401738299999987,Accepted values
2017,08/04/2017,NA,No Matchup,10.48308679,Yes,14.244558199573106,6.721615380426894,24.137931034482758,1.7444132099999994,Accepted values
2017,08/05/2017,NA,No Matchup,26.45497909,Yes,26.947378455373435,25.96257972462656,10.344827586206897,0.2283542433333352,Accepted values
2017,17/07/2017,NA,No Matchup,44.84983917,Yes,52.02995840128675,37.66971993871326,48.275862068965516,3.3298391699999996,Accepted values
2017,26/08/2017,NA,No Matchup,7.870572317,No,63.30771108189839,0,100,25.709427682999998,Rejected values
2017,05/10/2017,13.8,Matchup,9.119779866,Yes,19.211720309714835,0,58.620689655172406,4.680220134000001,Accepted values
2017,04/11/2017,NA,No Matchup,10.53148384,Yes,16.30636934511515,4.756598334884847,37.93103448275862,2.6781505066666664,Accepted values
2017,20/04/2018,NA,No Matchup,10.23753491,Yes,11.79014338162442,8.684926438375582,10.344827586206897,0.7200349100000007,Accepted values
2017,13/05/2018,NA,No Matchup,23.31860007,Yes,30.814747697165096,15.822452442834903,48.275862068965516,3.4763999299999995,Accepted values
2017,27/02/2020,NA,No Matchup,19.05796321,Yes,44.67036901055926,0,93.10344827586206,11.87796321,Accepted values
2017,29/06/2018,NA,No Matchup,10.56182839,Yes,42.54653855182369,0,93.10344827586206,14.833171609999999,Accepted values
2017,24/04/2020,NA,No Matchup,13.52345049,Yes,21.113865402731278,5.93303557726872,48.275862068965516,3.5201171566666662,Accepted values
2017,27/10/2018,NA,No Matchup,8.035399375,Yes,12.674168656020257,3.396630093979745,27.586206896551722,2.1512672916666666,Accepted values
2017,01/09/2020,NA,No Matchup,44.83962988,Yes,92.88829665633254,0,93.10344827586206,22.282963213333332,Accepted values
2017,11/10/2020,NA,No Matchup,7.678108688,Yes,17.018949049708873,0,51.724137931034484,4.331891312,Accepted values
2017,04/02/2019,NA,No Matchup,7.712536783,Yes,8.846468466386368,6.5786050996136325,10.344827586206897,0.5258701163333335,Accepted values
2017,08/02/2021,NA,No Matchup,9.190199333,Yes,13.51040901689629,4.869989649103712,24.137931034482758,2.003532666333334,Accepted values
2017,27/06/2019,NA,No Matchup,32.7349868,Yes,46.43103242807833,19.03894117192167,68.96551724137932,6.351653466666669,Accepted values
2017,20/03/2021,NA,No Matchup,8.280642116,Yes,11.06806715241416,5.493217079585838,20.689655172413794,1.292691217333335,Accepted values
2017,07/07/2019,NA,No Matchup,10.09889286,No,77.85210378887356,0,100,31.421107140000004,Rejected values
2017,22/04/2021,NA,No Matchup,25.05315907,Yes,57.50503968120517,0,93.10344827586206,15.049825736666666,Accepted values
2017,01/07/2021,NA,No Matchup,51.8997545,Yes,63.26290560066107,40.53660339933893,62.06896551724138,5.269754499999998,Accepted values
2017,06/10/2021,NA,No Matchup,13.61615341,Yes,21.011142315500386,6.2211645044996144,48.275862068965516,3.4294867433333334,Accepted values
2017,19/04/2020,NA,No Matchup,19.6609397,Yes,40.485598688410136,0,79.3103448275862,9.657606366666666,Accepted values
2017,22/04/2020,NA,No Matchup,11.77623703,Yes,15.59914236499121,7.953331695008792,24.137931034482758,1.772903696666667,Accepted values
2017,01/06/2020,NA,No Matchup,11.2754559,Yes,43.852513158594164,0,93.10344827586206,15.107877433333332,Accepted values
2017,08/03/2022,NA,No Matchup,9.282124764,Yes,11.771837644912598,6.792411883087403,17.24137931034483,1.1546247639999994,Accepted values
2017,18/03/2022,NA,No Matchup,7.975199335,Yes,9.74293231550553,6.2074663544944695,17.24137931034483,0.8198006649999998,Accepted values
2017,29/09/2020,NA,No Matchup,10.32989082,Yes,36.69443995024631,0,93.10344827586206,12.226775846666666,Accepted values
2017,17/04/2021,NA,No Matchup,9.979863378,Yes,10.030471551260908,9.929255204739091,0,0.023469955333334624,Accepted values
2017,10/03/2023,NA,No Matchup,7.675538076,Yes,13.686850129869875,1.6642260221301246,37.93103448275862,2.787795257333335,Accepted values
2017,16/07/2021,NA,No Matchup,35.89153761,Yes,62.92817521949889,8.854900000501111,93.10344827586206,12.53846239,Accepted values
2017,02/04/2023,NA,No Matchup,7.81465434,Yes,12.534094327591347,3.095214352408651,27.586206896551722,2.188678993333334,Accepted values
2017,21/10/2021,NA,No Matchup,8.277624962,Yes,12.394084153332525,4.161165770667477,24.137931034482758,1.9090417046666666,Accepted values
2017,13/11/2021,NA,No Matchup,135.6310687,No,401.64843590710666,0,100,123.36773536666665,Rejected values
2017,05/11/2023,NA,No Matchup,12.27095469,Yes,12.287388591692263,12.254520788307737,0,0.007621356666666301,Accepted values
2017,25/11/2023,NA,No Matchup,12.29621611,Yes,12.367121113235466,12.225311106764533,0,0.03288277666666595,Accepted values
2017,29/04/2022,NA,No Matchup,7.684594786,Yes,8.93612028805015,6.43306928394985,10.344827586206897,0.5804052140000007,Accepted values
2017,29/09/2022,NA,No Matchup,47.81926798,No,102.29291678454405,0,100,25.262601313333334,Rejected values
2017,08/12/2022,NA,No Matchup,9.460874186,Yes,14.023149270248775,4.898599101751225,27.586206896551722,2.1157924806666664,Accepted values
2017,23/02/2023,NA,No Matchup,7.73123165,Yes,8.905475002274882,6.556988297725118,10.344827586206897,0.5445649833333333,Accepted values
